사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT
2010년01월	31	17	2	6	0	0	2	3	0	0	5	653	663	1592	1583	2038	2019	3171662	3281098	30727140	30522035	1977133	1902260
2010년02월	28	17	2	6	0	0	3	1	0	0	3	574	596	1421	1413	1746	1758	3188655	3219193	27322348	27752799	1673514	1646549
2010년03월	31	13	2	5	0	0	5	4	1	1	4	634	629	1595	1595	1975	1994	3636114	3623821	32201638	31851457	2017253	2022131
2010년04월	30	15	2	4	0	0	6	4	0	1	2	644	634	1619	1650	2189	2195	3096550	3039014	31953619	31968114	2092329	2105940
2010년05월	31	15	2	7	0	0	3	1	0	4	3	705	727	1709	1699	2256	2225	3861031	3724627	33669914	33807157	2269505	2227439
2010년06월	30	22	1	4	0	0	2	0	0	2	1	690	691	1605	1633	2257	2279	4382777	4548184	31517430	32018371	2289469	2258542
2010년07월	31	17	1	4	0	0	5	1	0	4	1	701	693	1798	1783	2244	2210	4249741	4202134	35692042	35808762	2165774	2117518
2010년08월	31	13	2	5	3	0	4	4	0	1	3	737	750	1697	1719	2046	2097	4472612	4515155	35446151	35595882	1800410	1850141
2010년09월	30	16	2	7	0	0	5	3	0	0	1	670	671	1652	1661	1841	1821	4318263	4274269	34221880	34287333	1523079	1492586
2010년10월	31	23	0	5	0	0	2	1	0	0	0	711	702	1730	1718	1956	1967	4306986	4303210	34932870	34407013	1749769	1787625
2010년11월	30	16	2	4	0	0	0	2	0	0	10	705	695	1689	1699	2090	2082	4702755	4607355	34106738	34625097	1888956	1896874
2010년12월	31	13	3	5	0	0	1	2	0	0	13	708	669	1638	1634	1969	1957	4050307	3903166	35251713	35521096	1884329	1891993
2011년01월	31	23	1	6	0	1	0	0	0	0	2	671	694	1721	1716	2026	2019	4061354	4085800	35046137	34903346	1785558	1805702
2011년02월	28	13	3	7	0	0	2	1	1	0	7	632	625	1485	1468	1652	1632	3575950	3662001	30661160	30735772	1427817	1409296
2011년03월	31	18	1	5	0	0	1	2	0	1	5	678	683	1768	1768	2111	2120	4166212	4173611	37019087	37032909	1850575	1874109
2011년04월	30	17	1	4	0	0	4	5	0	0	1	654	630	1752	1766	1846	1858	4241999	4030038	37198871	37365050	1684315	1661845
2011년05월	31	11	4	7	0	0	5	2	0	3	7	651	682	1674	1691	1857	1873	4127686	4298946	38370050	37943722	1609328	1603775
2011년06월	30	8	3	5	0	0	5	5	0	5	5	649	654	1557	1548	1849	1850	3748056	3856875	36519899	36886127	1650560	1648286
2011년07월	31	10	3	5	1	0	6	3	0	4	5	666	661	1659	1665	1910	1862	3905048	3849026	39225003	39088149	1753686	1742422
2011년08월	31	21	1	5	0	0	3	2	0	0	1	681	689	1686	1706	1867	1896	4096820	4125259	38355237	38604832	1576475	1591754
2011년09월	30	23	0	6	0	0	1	0	0	0	0	598	604	1628	1631	1722	1717	3857084	3843540	38271259	37855311	1527551	1515900
2011년10월	31	19	2	6	0	0	3	1	0	0	4	693	689	1689	1655	1988	1982	4274537	4244107	38541630	38621576	1754226	1726572
2011년11월	30	18	1	4	0	0	3	0	0	0	6	675	671	1657	1675	1869	1884	3600397	3606019	37464354	38054743	1684865	1704784
2011년12월	31	24	1	4	0	0	0	0	0	0	4	718	676	1701	1692	1807	1796	4121228	4057702	39076304	38767805	1671846	1672559
2012년01월	31	19	2	7	0	0	0	3	0	0	4	690	717	1646	1630	1793	1771	3160152	3125738	39253968	39106432	1675154	1665332
2012년02월	29	23	0	4	0	0	0	1	0	0	1	634	650	1459	1430	1754	1732	3251171	3461069	33342805	33306668	1584570	1565117
2012년03월	31	14	2	5	0	0	4	4	0	0	6	740	725	1711	1726	1840	1847	3276916	3076191	39873374	39687057	1664428	1705427
2012년04월	30	12	3	5	0	0	5	2	0	2	7	681	682	1675	1691	1906	1942	3234670	2969646	39068709	38714529	1712232	1815070
2012년05월	31	20	1	6	0	0	2	0	0	1	3	746	770	1717	1737	1909	1907	3237541	3129913	40770656	40347221	1893117	1866061
2012년06월	30	20	1	5	0	0	4	1	0	1	0	697	689	1681	1699	1897	1901	3414643	3086699	38093665	37962079	1776365	1773784
2012년07월	31	16	2	5	1	0	7	2	0	1	1	733	735	1808	1802	1941	1920	3282042	3008693	41018831	40097561	1783512	1783050
2012년08월	31	14	2	5	6	0	5	3	0	0	0	695	684	1587	1593	1587	1623	3083171	2772834	38387207	37956486	1492347	1515066
2012년09월	30	14	2	6	0	0	7	3	0	0	2	673	666	1655	1704	1886	1806	3361724	3047430	40876976	41047932	1685703	1644275
2012년10월	31	20	1	6	0	0	2	2	0	0	2	718	736	1677	1654	1896	1968	3439388	3237740	41504174	40804943	1757073	1880056
2012년11월	30	20	1	4	0	0	4	1	0	0	2	710	694	1598	1588	1870	1895	3476910	3195400	41250204	40929770	1791625	1840744
2012년12월	31	17	2	6	0	0	3	4	0	0	3	759	711	1646	1615	1822	1768	3496839	3040422	40707599	39963433	1719941	1699695
2013년01월	31	17	2	5	0	0	1	0	0	0	10	696	736	1664	1658	1989	2013	3152601	3108776	41415957	41113164	1537157	1583153
2013년02월	28	17	2	6	0	0	2	1	0	0	4	663	673	1438	1463	1785	1763	3278251	3079284	35785348	35788586	1513899	1515168
2013년03월	31	13	3	6	0	0	3	7	0	0	5	770	739	1757	1745	2012	2024	3598574	3203270	44024446	43184591	1604544	1653332
2013년04월	30	15	2	4	0	0	4	6	0	0	3	728	727	1709	1693	1898	1931	3379101	3166696	42465574	41828169	1578833	1686638
2013년05월	31	16	2	5	0	0	4	0	0	2	6	768	777	1635	1661	1824	1828	3425972	3180802	43646846	43316866	1614353	1621474
2013년06월	30	19	1	6	0	0	3	0	0	1	2	747	742	1554	1582	1741	1746	3632414	3278475	42727838	42639919	1527619	1562747
2013년07월	31	14	2	4	0	0	3	8	0	3	1	744	752	1639	1622	1823	1805	3440596	3276205	45091064	44620498	1614788	1679198
2013년08월	31	8	3	5	13	0	4	2	0	2	0	773	740	1627	1638	1799	1795	3596182	3217313	43766797	43544397	1604981	1663485
