사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT	PORT NAME
2025년01월	31 	21 	1 	8 	0 	0 	1 	1 	0 	0 	0 	455 	476 	1452 	1446 	1806 	1796 	4508704 	4449360 	48627580 	48029936 	1717625 	1716871 	부산항
2025년02월	28 	21 	1 	4 	0 	0 	2 	2 	0 	0 	0 	440 	442 	1314 	1312 	1597 	1607 	4397794 	4269339 	42824452 	42403651 	1500251 	1500618 	부산항
2025년03월	31 	19 	2 	6 	0 	0 	3 	4 	0 	1 	0 	482 	478 	1478 	1498 	1879 	1902 	4581762 	4309539 	49831655 	49505583 	1757272 	1759925 	부산항
2025년04월	30 	21 	1 	4 	0 	0 	3 	3 	0 	0 	0 	462 	462 	1490 	1478 	1792 	1802 	4694293 	4513389 	47963527 	47554794 	1707988 	1730572 	부산항
2025년05월	31 	17 	2 	7 	0 	0 	3 	3 	0 	2 	0 	468 	476 	1508 	1507 	1852 	1852 	4798390 	4640800 	48737407 	48292248 	1786942 	1762138 	부산항
2025년06월	30 	14 	2 	6 	0 	0 	6 	3 	0 	3 	0 	471 	473 	1393 	1402 	1758 	1767 	4848662 	4672159 	46983309 	46716582 	1691435 	1694389 	부산항
2025년07월	31 	11 	2 	4 	0 	0 	7 	4 	0 	7 	0 	489 	492 	1459 	1469 	1795 	1777 	4862551 	4722610 	49017473 	48543590 	1731849 	1732619 	부산항
2025년08월	31 	11 	3 	6 	6 	0 	6 	3 	0 	3 	0 	464 	463 	1438 	1453 	1670 	1696 	4746791 	4509947 	48429615 	47926019 	1636081 	1676108 	부산항
2025년09월	30 	19 	1 	4 	1 	0 	4 	2 	0 	1 	0 	425 	428 	1336 	1342 	1558 	1540 	4310649 	4158520 	45118450 	44710724 	1527080 	1513029 	부산항
2025년10월	31 	20 	1 	9 	0 	0 	1 	1 	0 	0 	0 	464 	463 	1434 	1424 	1779 	1797 	4918051 	4739658 	48855385 	48590937 	1753060 	1771925 	부산항
